img,R,G,B,N,P,K
A37,125.9943512,84.03485853,69.61941146,0.012,8.23,17
A38,125.8151987,83.13206045,68.08379405,0.012,9.75,20.77
A39,125.8229949,82.80504665,67.41376801,0.012,13.94,23.61
A40,124.0768906,81.64300942,67.1894754,0.014,13.18,22.66
A41,125.0135174,83.38245505,69.52696724,0.01,7.12,20.77
B6,87.4379863,74.6619253,79.3767065,0.11,64.75,125.9
B7,85.7675026,72.65330082,77.33792327,0.21,89.25,132.78
B8,80.45772807,67.74677127,71.80831025,0.21,63.75,141.63
B9,92.04545393,79.26480607,85.44021318,0.24,72.58,130.82
B10,80.4197706,68.98204681,75.10706266,0.22,86.58,135.73
B16,116.5609234,82.16106055,72.17804942,0.03,12.5,29.51
B17,115.1364057,79.14856241,67.71188485,0.03,13.8,25.57
B18,115.2305188,76.07241818,61.9138377,0.02,18.13,27.54
B19,101.7848603,73.19322852,65.05017406,0.02,14.6,42.29
B20,119.8481924,96.19443868,87.82180819,0.05,23.2,97.37
B26,129.5215374,115.3226283,107.1267446,0.13,83,141.63
B27,129.2577869,115.2725168,107.2362283,0.19,90.5,150.49
B28,131.5429587,117.4309538,109.2190051,0.18,91.25,140.65
B29,129.8032608,116.8283753,109.2341285,0.19,96.5,140.65
B30,131.8982144,118.5945206,111.2387565,0.21,104,135.73
B36,127.6003718,115.0425887,108.5061875,0.1,69.75,139.67
B37,129.5058564,114.8789141,106.7652635,0.23,78.5,142.62
B38,124.8612418,109.8869267,102.6544785,0.2,70,115.08
B39,128.6429699,113.7780187,105.5071603,0.24,61.75,126.88
B40,129.2699986,116.7803615,109.5087172,0.24,76.5,128.85
B46,142.1060366,111.3936267,98.41308104,0.03,28,38.36
B47,140.3941415,109.1331813,96.76539903,0.03,14.1,44.26
B48,142.8524663,108.2478369,91.42096969,0.03,21.35,37.38
B49,142.7311465,109.9777807,96.42443101,0.03,34.88,37.38
B50,144.4501388,111.6580641,96.76808981,0.04,37,31.47
B56,142.1434333,108.7977113,95.09830023,0.01,22.7,29.51
B57,144.422967,109.0446281,93.36728893,0.02,21.05,29.51
B58,145.655276,111.0653093,94.48979339,0.03,54.38,34.43
B59,142.8266734,109.1350755,92.31273565,0.03,44.5,35.41
B60,144.9954725,111.2611346,95.2227392,0.04,58,42.29
R49,143.5377972,99.23002585,67.80370342,0.03,4.58,67.76
R50,136.9130084,98.05774435,73.89877656,0.03,7.7,64.68
R51,112.5215555,78.06986107,59.81980097,0.04,7.33,58.52
R52,116.3992449,79.33503729,59.73753207,0.04,10.43,88.3
R53,105.1404869,74.75511834,63.39706106,0.05,19.85,39.01
R54,140.15094,100.7701452,71.73834913,0.04,15.7,32.85
R55,136.9303513,103.5131805,81.6066293,0.04,17.65,56.47
R56,133.9499816,101.3027411,77.07888075,0.04,62.7,72.9
R57,132.4422283,98.73807124,76.01084607,0.02,19.6,47.23
R58,135.3501169,101.6344959,78.37842102,0.03,15.25,49.28
R59,130.0241345,99.55477051,80.49945356,0.04,26.4,55.44
R60,131.0452365,98.06205276,77.47857648,0.02,25.1,50.31
R61,138.578008,102.889314,80.57172556,0.05,28.05,68.79
R62,136.1707203,101.6859934,79.00439904,0.05,29,61.6
R63,137.7095139,104.5543605,81.94002595,0.04,16.85,58.52
R64,136.0139435,103.5642193,81.19798758,0.04,12.9,37.99
