img,R,G,B,N,P,K
A1,122.1150921,82.17856755,69.42293049,0.011,5.86,19.83
A2,122.6600231,80.63327125,66.31983347,0.012,8.89,30.22
A3,122.7511574,82.32187669,69.28492509,0.011,11.57,22.66
A4,126.1785843,83.10375811,67.90644631,0.013,10.56,28.33
A5,123.2336677,80.21612745,65.78224574,0.009,7.07,24.55
R33,115.7934821,78.36171658,58.16506662,0.06,8.88,106.78
R34,112.1787302,75.04022533,57.25921993,0.11,11.88,117.04
R35,113.5572646,78.00942405,59.81248299,0.11,16.53,142.71
R36,110.1571328,76.97658038,61.04739743,0.07,12.23,121.15
R37,102.4179562,73.63961924,64.98228384,0.07,33.6,59.55
R38,138.9267185,105.740203,80.89439232,0.07,30.95,55.44
R39,135.86394,106.530967,87.49918725,0.08,29.75,102.67
R40,132.6969308,102.3230909,81.50701318,0.11,95.3,103.7
R41,135.6609869,103.8412214,83.68456488,0.04,69.7,97.54
R42,137.2659697,104.4925452,84.69435705,0.1,36.85,69.82
R43,136.3379749,107.1770416,90.08418965,0.08,42.45,71.87
R44,135.9210274,104.4094412,86.27229527,0.09,49.65,100.62
R45,137.3434442,104.9628885,84.43925793,0.1,53.45,102.67
R46,135.7012075,101.4301137,79.18777284,0.11,29.45,51.34
R47,137.1794891,104.6137513,84.26551287,0.07,36.1,101.64
R48,203.3808265,155.7541071,126.215202,0.07,44.6,72.9
B1,86.813619,71.99679534,72.23161907,0.2,69.5,173.11
B2,98.41451577,73.91942452,69.11267913,0.08,83.5,188.85
B3,86.74083927,70.75325538,70.25934208,0.1,74.25,179.99
B4,76.63403337,62.84010943,62.95216327,0.13,63,180.65
B5,90.79118099,75.36274166,75.12354529,0.24,98.42,180.98
B11,116.0376846,84.01390921,77.55825353,0.2,9.55,28.52
B12,115.3173092,82.41391289,74.57098233,0.02,11.6,31.47
B13,117.3398836,82.91622096,73.74490399,0.03,16.55,34.43
B14,169.9833238,114.7230796,97.17039509,0.02,10.45,51.15
B15,112.5665027,81.01220207,73.64347013,0.02,24.25,96.23
B21,129.4296133,115.8600136,108.2413149,0.2,90.25,176.06
B22,129.6471465,115.4747746,107.591603,0.09,109.75,164.26
B23,130.4271151,116.6533783,108.7490446,0.07,103.25,150.49
B24,131.3816004,118.7906154,111.9245008,0.05,88,147.54
B25,127.3947382,115.1925074,108.7123819,0.19,158.5,250.81
B31,126.9427675,114.1824327,107.2624505,0.17,79.75,192.78
B32,128.6801259,115.2661939,107.0904013,0.05,92.75,200.65
B33,129.8446508,114.9112959,106.6619294,0.09,93.67,197.7
B34,128.8804518,114.1745767,106.0037272,0.01,108.5,199.67
B35,128.7550681,116.2757947,109.6584273,0.12,103.25,200.65
B41,144.987969,111.4299032,94.81833509,0.03,33.38,42.29
B42,144.5843261,110.6093553,93.46751261,0.03,18.7,49.18
B43,145.1948355,111.9628171,94.65853568,0.04,15,67.87
B44,142.7057962,109.2983081,93.2911105,0.01,30.25,41.31
B45,143.621158,111.4864828,97.92676682,0.01,36,50.16
B51,142.5740273,109.7131613,96.41953093,0.01,14.6,38.36
B52,139.9716767,110.6045663,99.64871665,0.03,19.45,35.41
B53,143.5455413,112.4698166,98.55438395,0.03,30.25,42.29
B54,143.9114206,109.832821,92.39034602,0.02,24,39.34
B55,142.6131366,110.1471337,94.92551038,0.03,47.38,50.16
