,R,G,B,PH,N,P,K
A1,122.1150921,82.17856755,69.42293049,5.21,0.011,5.86,19.83
A2,122.6600231,80.63327125,66.31983347,5.39,0.012,8.89,30.22
A3,122.7511574,82.32187669,69.28492509,5.4,0.011,11.57,22.66
A4,126.1785843,83.10375811,67.90644631,5.54,0.013,10.56,28.33
A5,123.2336677,80.21612745,65.78224574,5.79,0.009,7.07,24.55
A37,125.9943512,84.03485853,69.61941146,5.12,0.012,8.23,17
A38,125.8151987,83.13206045,68.08379405,5.33,0.012,9.75,20.77
A39,125.8229949,82.80504665,67.41376801,5.4,0.012,13.94,23.61
A40,124.0768906,81.64300942,67.1894754,5.34,0.014,13.18,22.66
A41,125.0135174,83.38245505,69.52696724,5.48,0.01,7.12,20.77
B1,86.813619,71.99679534,72.23161907,7.13,0.2,69.5,173.11
B2,98.41451577,73.91942452,69.11267913,7.05,0.08,83.5,188.85
B3,86.74083927,70.75325538,70.25934208,7.20,0.1,74.25,179.99
B4,76.63403337,62.84010943,62.95216327,7.13,0.13,63,180.65
B5,90.79118099,75.36274166,75.12354529,6.67,0.24,98.42,180.98
B6,87.4379863,74.6619253,79.3767065,7.41,0.11,64.75,125.9
B7,85.7675026,72.65330082,77.33792327,7.38,0.21,89.25,132.78
B8,80.45772807,67.74677127,71.80831025,6.94,0.21,63.75,141.63
B9,92.04545393,79.26480607,85.44021318,6.93,0.24,72.58,130.82
B10,80.4197706,68.98204681,75.10706266,7.10,0.22,86.58,135.73
B11,116.0376846,84.01390921,77.55825353,4.71,0.2,9.55,28.52
B12,115.3173092,82.41391289,74.57098233,4.69,0.02,11.6,31.47
B13,117.3398836,82.91622096,73.74490399,4.67,0.03,16.55,34.43
B14,169.9833238,114.7230796,97.17039509,5.12,0.02,10.45,51.15
B15,112.5665027,81.01220207,73.64347013,5.23,0.02,24.25,96.23
B16,116.5609234,82.16106055,72.17804942,4.58,0.03,12.5,29.51
B17,115.1364057,79.14856241,67.71188485,4.59,0.03,13.8,25.57
B18,115.2305188,76.07241818,61.9138377,4.60,0.02,18.13,27.54
B19,101.7848603,73.19322852,65.05017406,5.00,0.02,14.6,42.29
B20,119.8481924,96.19443868,87.82180819,5.07,0.05,23.2,97.37
B21,129.4296133,115.8600136,108.2413149,7.12,0.2,90.25,176.06
B22,129.6471465,115.4747746,107.591603,7.27,0.09,109.75,164.26
B23,130.4271151,116.6533783,108.7490446,7.37,0.07,103.25,150.49
B24,131.3816004,118.7906154,111.9245008,7.50,0.05,88,147.54
B25,127.3947382,115.1925074,108.7123819,7.18,0.19,158.5,250.81
B26,129.5215374,115.3226283,107.1267446,7.24,0.13,83,141.63
B27,129.2577869,115.2725168,107.2362283,7.16,0.19,90.5,150.49
B28,131.5429587,117.4309538,109.2190051,7.29,0.18,91.25,140.65
B29,129.8032608,116.8283753,109.2341285,7.39,0.19,96.5,140.65
B30,131.8982144,118.5945206,111.2387565,7.35,0.21,104,135.73
B31,126.9427675,114.1824327,107.2624505,6.49,0.17,79.75,192.78
B32,128.6801259,115.2661939,107.0904013,7.09,0.05,92.75,200.65
B33,129.8446508,114.9112959,106.6619294,7.34,0.09,93.67,197.7
B34,128.8804518,114.1745767,106.0037272,7.14,0.01,108.5,199.67
B35,128.7550681,116.2757947,109.6584273,6.84,0.12,103.25,200.65
B36,127.6003718,115.0425887,108.5061875,6.82,0.1,69.75,139.67
B37,129.5058564,114.8789141,106.7652635,7.01,0.23,78.5,142.62
B38,124.8612418,109.8869267,102.6544785,7.15,0.2,70,115.08
B39,128.6429699,113.7780187,105.5071603,7.27,0.24,61.75,126.88
B40,129.2699986,116.7803615,109.5087172,7.27,0.24,76.5,128.85
B41,144.987969,111.4299032,94.81833509,5.24,0.03,33.38,42.29
B42,144.5843261,110.6093553,93.46751261,4.67,0.03,18.7,49.18
B43,145.1948355,111.9628171,94.65853568,4.86,0.04,15,67.87
B44,142.7057962,109.2983081,93.2911105,5.01,0.01,30.25,41.31
B45,143.621158,111.4864828,97.92676682,5.00,0.01,36,50.16
B46,142.1060366,111.3936267,98.41308104,5.35,0.03,28,38.36
B47,140.3941415,109.1331813,96.76539903,4.90,0.03,14.1,44.26
B48,142.8524663,108.2478369,91.42096969,4.62,0.03,21.35,37.38
B49,142.7311465,109.9777807,96.42443101,4.81,0.03,34.88,37.38
B50,144.4501388,111.6580641,96.76808981,4.98,0.04,37,31.47
B51,142.5740273,109.7131613,96.41953093,4.84,0.01,14.6,38.36
B52,139.9716767,110.6045663,99.64871665,4.76,0.03,19.45,35.41
B53,143.5455413,112.4698166,98.55438395,4.71,0.03,30.25,42.29
B54,143.9114206,109.832821,92.39034602,4.76,0.02,24,39.34
B55,142.6131366,110.1471337,94.92551038,4.88,0.03,47.38,50.16
B56,142.1434333,108.7977113,95.09830023,5.05,0.01,22.7,29.51
B57,144.422967,109.0446281,93.36728893,4.94,0.02,21.05,29.51
B58,145.655276,111.0653093,94.48979339,4.81,0.03,54.38,34.43
B59,142.8266734,109.1350755,92.31273565,4.92,0.03,44.5,35.41
B60,144.9954725,111.2611346,95.2227392,5.06,0.04,58,42.29
R1,139.1859437,100.6511523,66.97785798,4.4,0.1,4.19,201.42
R2,135.5211274,97.6635677,69.61199624,4.4,0.13,4.37,257.75
R3,141.0180018,102.8706622,72.47838398,4.5,0.1,4.03,239.15
R4,212.7109172,150.3734686,99.97881108,4.5,0.1,3.29,179.63
R5,138.6214489,108.9168147,88.07146426,4.7,0.09,32.33,97.26
R6,137.2937104,106.7166627,83.02427461,4.7,0.09,5.54,80.25
R7,139.8244095,106.8090672,82.63601779,4.6,0.08,8.51,72.28
R8,135.9504679,105.7260095,83.73177588,4.6,0.11,11.71,119.58
R9,144.7620535,110.9625348,86.12809149,4.6,0.11,9.15,57.4
R10,137.592615,105.4340758,84.94405135,4.6,0.13,28.23,63.24
R11,141.9669393,109.4667634,88.70130371,4.5,0.09,19.22,61.65
R12,135.0297861,106.4558386,87.48677192,4.4,0.1,21.92,57.4
R13,136.5953571,107.62324,86.90034528,4.8,0.08,37.34,103.1
R14,138.8239184,106.6310732,84.79376664,4.6,0.1,49.69,140.83
R15,140.6545605,110.2757321,89.79564122,4.6,0.09,31.62,65.9
R16,141.5033585,110.9586006,91.18831381,4.5,0.09,27.27,90.88
R17,143.9437559,99.15296481,60.83704759,4.7,0.09,2.68,148.81
R18,139.6785494,100.2184832,69.28956918,4.5,0.11,3.8,107.35
R19,138.121229,104.8267937,78.76508707,4.7,0.09,2.33,96.19
R20,140.0454942,99.90170351,66.75140627,4.9,0.09,1.97,90.88
R21,131.8372145,99.76754404,77.5796447,4.6,0.09,20.74,65.9
R22,136.1997088,104.6017239,79.33828215,4.8,0.09,4.62,67.49
R23,134.026294,100.6128453,77.56626908,4.8,0.07,6.82,58.99
R24,136.7047475,104.9439906,79.48927836,4.9,0.07,4.07,82.37
R25,134.9470938,103.8904055,82.09210878,4.6,0.08,9.11,48.89
R26,133.1931761,103.3407247,83.7640043,4.7,0.08,10.89,55.27
R27,140.6760075,107.7148338,86.15417133,4.7,0.08,7.96,58.99
R28,133.744134,102.1539714,81.16988074,4.6,0.07,9.2,48.36
R29,134.8315115,102.6348652,78.65331685,4.9,0.08,11.21,72.28
R30,136.0137639,102.371057,78.32576974,4.6,0.08,15.65,100.44
R31,142.7484142,108.2475465,83.52410824,4.8,0.06,9.79,39.33
R32,139.2908958,105.9772261,82.30523292,4.87,0.08,6.63,50.49
R33,115.7934821,78.36171658,58.16506662,4.80,0.06,8.88,106.78
R34,112.1787302,75.04022533,57.25921993,4.79,0.11,11.88,117.04
R35,113.5572646,78.00942405,59.81248299,4.76,0.11,16.53,142.71
R36,110.1571328,76.97658038,61.04739743,4.41,0.07,12.23,121.15
R37,102.4179562,73.63961924,64.98228384,4.28,0.07,33.6,59.55
R38,138.9267185,105.740203,80.89439232,4.18,0.07,30.95,55.44
